cycle,name,current-object,current-action,time-left,sleep,hunger,social,hygene,culinary,outdoor,sport,knowlegable
1,Luna Cromwell,bed,sleep,8,35,0,-5,-5,-5,-5,0,0
2,Luna Cromwell,bed,sleep,7,70,0,-10,-10,-10,-10,0,0
3,Luna Cromwell,bed,sleep,6,100,0,-15,-15,-15,-15,0,0
4,Luna Cromwell,bed,sleep,5,100,0,-20,-20,-20,-20,0,0
5,Luna Cromwell,bed,sleep,4,100,0,-25,-25,-25,-25,0,0
6,Luna Cromwell,restaurant,eat,3,95,0,-20,-30,20,-30,0,0
7,Luna Cromwell,restaurant,eat,2,90,0,-15,-35,65,-35,0,0
8,Luna Cromwell,bathroom,wash-hands,1,85,0,-20,40,60,-40,0,0
9,Luna Cromwell,forest,walk,0,80,0,-25,35,55,-45,0,0
10,Luna Cromwell,forest,walk,-1,75,0,-30,30,50,-50,0,0
11,Luna Cromwell,forest,jog,2,70,0,-35,25,45,-15,0,0
12,Luna Cromwell,forest,walk,0,65,0,-40,20,40,-20,0,0
13,Luna Cromwell,restaurant,eat,3,60,0,-35,15,85,-25,0,0
14,Luna Cromwell,forest,walk,0,55,0,-40,10,80,-30,0,0
15,Luna Cromwell,forest,walk,-1,50,0,-45,5,75,-35,0,0
16,Luna Cromwell,forest,jog,2,45,0,-50,0,70,0,0,0
17,Luna Cromwell,forest,jog,1,40,0,-55,-5,65,35,0,0
18,Luna Cromwell,forest,walk,0,35,0,-60,-10,60,30,0,0
19,Luna Cromwell,forest,walk,-1,30,0,-65,-15,55,25,0,0
20,Luna Cromwell,restaurant,eat,3,25,0,-60,-20,100,20,0,0
21,Luna Cromwell,forest,walk,0,20,0,-65,-25,95,15,0,0
22,Luna Cromwell,bathroom,wash-hands,1,15,0,-70,50,90,10,0,0
23,Luna Cromwell,bathroom,wash-hands,0,10,0,-75,100,85,5,0,0
24,Luna Cromwell,bathroom,wash-hands,-1,5,0,-80,100,80,0,0,0
25,Luna Cromwell,bathroom,wash-hands,-2,0,0,-85,100,75,-5,0,0
26,Luna Cromwell,bathroom,wash-hands,-3,-5,0,-90,100,70,-10,0,0
27,Luna Cromwell,bathroom,wash-hands,-4,-10,0,-95,100,65,-15,0,0
28,Luna Cromwell,bathroom,wash-hands,-5,-15,0,-100,100,60,-20,0,0
29,Luna Cromwell,bathroom,wash-hands,-6,-20,0,-100,100,55,-25,0,0
30,Luna Cromwell,bathroom,wash-hands,-7,-25,0,-100,100,50,-30,0,0
31,Luna Cromwell,bathroom,wash-hands,-8,-30,0,-100,100,45,-35,0,0
32,Luna Cromwell,bed,sleep,8,5,0,-100,95,40,-40,0,0
33,Luna Cromwell,bathroom,wash-hands,1,0,0,-100,100,35,-45,0,0
34,Luna Cromwell,bathroom,wash-hands,0,-5,0,-100,100,30,-50,0,0
35,Luna Cromwell,bathroom,wash-hands,-1,-10,0,-100,100,25,-55,0,0
36,Luna Cromwell,bathroom,wash-hands,-2,-15,0,-100,100,20,-60,0,0
37,Luna Cromwell,bathroom,wash-hands,-3,-20,0,-100,100,15,-65,0,0
38,Luna Cromwell,bathroom,wash-hands,-4,-25,0,-100,100,10,-70,0,0
39,Luna Cromwell,bathroom,wash-hands,-5,-30,0,-100,100,5,-75,0,0
40,Luna Cromwell,bathroom,wash-hands,-6,-35,0,-100,100,0,-80,0,0
41,Luna Cromwell,bathroom,wash-hands,-7,-40,0,-100,100,-5,-85,0,0
42,Luna Cromwell,forest,walk,0,-45,0,-100,95,-10,-90,0,0
43,Luna Cromwell,bathroom,wash-hands,1,-50,0,-100,100,-15,-95,0,0
44,Luna Cromwell,bathroom,wash-hands,0,-55,0,-100,100,-20,-100,0,0
45,Luna Cromwell,bathroom,wash-hands,-1,-60,0,-100,100,-25,-100,0,0
46,Luna Cromwell,bathroom,wash-hands,-2,-65,0,-100,100,-30,-100,0,0
47,Luna Cromwell,bathroom,wash-hands,-3,-70,0,-100,100,-35,-100,0,0
48,Luna Cromwell,bed,sleep,8,-35,0,-100,95,-40,-100,0,0
49,Luna Cromwell,bed,sleep,7,0,0,-100,90,-45,-100,0,0
50,Luna Cromwell,bathroom,wash-hands,1,-5,0,-100,100,-50,-100,0,0
51,Luna Cromwell,bathroom,wash-hands,0,-10,0,-100,100,-55,-100,0,0
52,Luna Cromwell,bathroom,wash-hands,-1,-15,0,-100,100,-60,-100,0,0
53,Luna Cromwell,bathroom,wash-hands,-2,-20,0,-100,100,-65,-100,0,0
54,Luna Cromwell,bathroom,wash-hands,-3,-25,0,-100,100,-70,-100,0,0
55,Luna Cromwell,bathroom,wash-hands,-4,-30,0,-100,100,-75,-100,0,0
56,Luna Cromwell,restaurant,eat,3,-35,0,-90,95,-30,-100,0,0
57,Luna Cromwell,bathroom,wash-hands,1,-40,0,-95,100,-35,-100,0,0
58,Luna Cromwell,bathroom,wash-hands,0,-45,0,-100,100,-40,-100,0,0
59,Luna Cromwell,bathroom,wash-hands,-1,-50,0,-100,100,-45,-100,0,0
60,Luna Cromwell,bathroom,wash-hands,-2,-55,0,-100,100,-50,-100,0,0
61,Luna Cromwell,bathroom,wash-hands,-3,-60,0,-100,100,-55,-100,0,0
62,Luna Cromwell,bathroom,wash-hands,-4,-65,0,-100,100,-60,-100,0,0
63,Luna Cromwell,bed,sleep,8,-30,0,-100,95,-65,-100,0,0
64,Luna Cromwell,bathroom,wash-hands,1,-35,0,-100,100,-70,-100,0,0
65,Luna Cromwell,bathroom,wash-hands,0,-40,0,-100,100,-75,-100,0,0
66,Luna Cromwell,bathroom,wash-hands,-1,-45,0,-100,100,-80,-100,0,0
67,Luna Cromwell,bathroom,wash-hands,-2,-50,0,-100,100,-85,-100,0,0
68,Luna Cromwell,restaurant,eat,3,-55,0,-90,95,-40,-100,0,0
69,Luna Cromwell,bathroom,wash-hands,1,-60,0,-95,100,-45,-100,0,0
70,Luna Cromwell,bathroom,wash-hands,0,-65,0,-100,100,-50,-100,0,0
71,Luna Cromwell,bathroom,wash-hands,-1,-70,0,-100,100,-55,-100,0,0
72,Luna Cromwell,bathroom,wash-hands,-2,-75,0,-100,100,-60,-100,0,0
73,Luna Cromwell,bed,sleep,8,-40,0,-100,95,-65,-100,0,0
74,Luna Cromwell,bed,sleep,7,-5,0,-100,90,-70,-100,0,0
75,Luna Cromwell,bathroom,wash-hands,1,-10,0,-100,100,-75,-100,0,0
76,Luna Cromwell,bathroom,wash-hands,0,-15,0,-100,100,-80,-100,0,0
77,Luna Cromwell,bathroom,wash-hands,-1,-20,0,-100,100,-85,-100,0,0
78,Luna Cromwell,restaurant,eat,3,-25,0,-90,95,-40,-100,0,0
79,Luna Cromwell,bathroom,wash-hands,1,-30,0,-95,100,-45,-100,0,0
80,Luna Cromwell,bathroom,wash-hands,0,-35,0,-100,100,-50,-100,0,0
81,Luna Cromwell,bathroom,wash-hands,-1,-40,0,-100,100,-55,-100,0,0
82,Luna Cromwell,bathroom,wash-hands,-2,-45,0,-100,100,-60,-100,0,0
83,Luna Cromwell,bathroom,wash-hands,-3,-50,0,-100,100,-65,-100,0,0
84,Luna Cromwell,bathroom,wash-hands,-4,-55,0,-100,100,-70,-100,0,0
85,Luna Cromwell,bathroom,wash-hands,-5,-60,0,-100,100,-75,-100,0,0
86,Luna Cromwell,bed,sleep,8,-25,0,-100,95,-80,-100,0,0
87,Luna Cromwell,bathroom,wash-hands,1,-30,0,-100,100,-85,-100,0,0
88,Luna Cromwell,bathroom,wash-hands,0,-35,0,-100,100,-90,-100,0,0
89,Luna Cromwell,restaurant,eat,3,-40,0,-90,95,-45,-100,0,0
90,Luna Cromwell,bathroom,wash-hands,1,-45,0,-95,100,-50,-100,0,0
91,Luna Cromwell,bathroom,wash-hands,0,-50,0,-100,100,-55,-100,0,0
92,Luna Cromwell,bathroom,wash-hands,-1,-55,0,-100,100,-60,-100,0,0
93,Luna Cromwell,bathroom,wash-hands,-2,-60,0,-100,100,-65,-100,0,0
94,Luna Cromwell,bathroom,wash-hands,-3,-65,0,-100,100,-70,-100,0,0
95,Luna Cromwell,bed,sleep,8,-30,0,-100,95,-75,-100,0,0
96,Luna Cromwell,bathroom,wash-hands,1,-35,0,-100,100,-80,-100,0,0
97,Luna Cromwell,bathroom,wash-hands,0,-40,0,-100,100,-85,-100,0,0
98,Luna Cromwell,bathroom,wash-hands,-1,-45,0,-100,100,-90,-100,0,0
99,Luna Cromwell,restaurant,eat,3,-50,0,-90,95,-45,-100,0,0
100,Luna Cromwell,bathroom,wash-hands,1,-55,0,-95,100,-50,-100,0,0
101,Luna Cromwell,bathroom,wash-hands,0,-60,0,-100,100,-55,-100,0,0
102,Luna Cromwell,bathroom,wash-hands,-1,-65,0,-100,100,-60,-100,0,0
103,Luna Cromwell,bathroom,wash-hands,-2,-70,0,-100,100,-65,-100,0,0
104,Luna Cromwell,bed,sleep,8,-35,0,-100,95,-70,-100,0,0
